symbol,gics_sector,high,low,volume,total_equity,total_liabilities,estimated_shares_outstanding,earnings_before_interest_and_tax,fixed_assets
MMM,Industrials,157.404721972,155.3043655,2467750.0,11429000000.0,21454000000.0,626036269.43,6972000000.0,8515000000.0
ABT,Health Care,46.6756745913,45.915158631,5826679.7619,21211000000.0,20036000000.0,1504421768.71,3346000000.0,5732000000.0
ABBV,Health Care,62.863333369,61.3607144246,10472175.3968,3945000000.0,49105000000.0,1633015873.02,7331000000.0,2565000000.0
ATVI,Information Technology,27.9174603095,27.2476983333,7645236.50794,8068000000.0,7183000000.0,737190082.645,1319000000.0,189000000.0
AYI,Industrials,188.08932546,184.173095401,413873.412698,1360000000.0,1047000000.0,43294346.9786,375100000.0,174600000.0
ADBE,Information Technology,81.6965078571,80.1030553294,2795901.98413,7001580000.0,4724892000.0,499643650.794,937965000.0,787421000.0
AAP,Consumer Discretionary,165.379563579,161.882697889,1058796.42857,2002912000.0,5959446000.0,73159259.2593,854802000.0,1432030000.0
AMG,Financials,202.292023845,198.304960583,427317.460317,2837100000.0,4947700000.0,54373024.236,1139200000.0,114100000.0
AFL,Financials,62.2004761429,61.3096031389,2143214.28571,17708000000.0,1.00588e+11,430782312.925,4151000000.0,427000000.0
APD,Materials,143.743051611,141.326861361,1296403.1746,7249000000.0,10085500000.0,214773109.244,1846200000.0,10095300000.0
AKAM,Information Technology,69.1243653254,67.7310317659,1777031.34921,3120878000.0,1067047000.0,178558888.889,475149000.0,753180000.0
ALK,Industrials,72.2466666032,70.2926586905,1379175.39683,2411000000.0,4122000000.0,128290468.986,1320000000.0,4802000000.0
ALB,Materials,54.2875795159,52.9317856786,1451224.60317,3254392000.0,6360622000.0,111264451.827,490909000.0,2484738000.0
ALXN,Health Care,180.229246123,174.629484333,1657213.49206,8259000000.0,4838000000.0,211764705.882,546000000.0,697000000.0
ALLE,Industrials,61.4263095794,60.3123015794,654294.84127,25600000.0,2237400000.0,96187500.0,262200000.0,224800000.0
ADS,Information Technology,287.631547381,282.186268889,428673.412698,2010030000.0,20411800000.0,66951851.8519,1261860000.0,576706000.0
LNT,Utilities,61.6201983333,60.6192459881,1288472.22222,3924100000.0,8571100000.0,115595238.095,648400000.0,9519100000.0
ALL,Financials,66.366865119,65.438174623,2702888.88889,20025000000.0,84631000000.0,424023437.5,3574000000.0,1024000000.0
MO,Consumer Staples,54.2500795794,53.4268650516,6708654.36508,2880000000.0,29655000000.0,1962921348.31,8895000000.0,1982000000.0
AMZN,Consumer Discretionary,483.196230552,472.882143337,3797368.25397,13384000000.0,51363000000.0,465625000.0,2027000000.0,21838000000.0
AEE,Utilities,42.1857540278,41.4513887778,1666211.50794,6946000000.0,16694000000.0,244615384.615,1303000000.0,18799000000.0
AAL,Industrials,45.8357143929,44.4477778373,11553548.4127,5635000000.0,42780000000.0,668129938.543,5496000000.0,27510000000.0
AIG,Financials,59.2018650238,58.2643255595,8303213.49206,89658000000.0,4.07285e+11,1299408284.02,4562000000.0,0.0
AMT,Real Estate,96.614246127,95.0919841508,2374844.04762,6651679000.0,20252593000.0,482446478.873,1425911000.0,9866424000.0
AWK,Utilities,54.6492063056,53.775833369,880331.349206,5049000000.0,12180000000.0,178947368.421,782000000.0,13933000000.0
