2012/9/5,Denver Broncos,Baltimore Ravens,49,27
2012/9/8,Seattle Seahawks,Carolina Panthers,12,7
2012/9/8,St. Louis Rams,Arizona Cardinals,27,24
2012/9/8,San Francisco 49ers,Green Bay Packers,34,28
2012/9/8,Detroit Lions,Minnesota Vikings,34,24
2012/9/8,New Orleans Saints,Atlanta Falcons,23,17
2012/9/8,Tennessee Titans,Pittsburgh Steelers,16,9
2012/9/8,Chicago Bears,Cincinnati Bengals,24,21
2012/9/8,Indianapolis Colts,Oakland Raiders,21,17
2012/9/8,Dallas Cowboys,New York Giants,36,31
2012/9/8,Kansas City Chiefs,Jacksonville Jaguars,28,2
2012/9/8,Miami Dolphins,Cleveland Browns,23,10
2012/9/8,New York Jets,Tampa Bay Buccaneers,18,17
2012/9/8,New England Patriots,Buffalo Bills,23,21
2012/9/9,Philadelphia Eagles,Washington Redskins,33,27
2012/9/9,Houston Texans,San Diego Chargers,31,28
2012/9/12,New England Patriots,New York Jets,13,10
2012/9/15,New Orleans Saints,Tampa Bay Buccaneers,16,14
2012/9/15,Chicago Bears,Minnesota Vikings,31,30
2012/9/15,Kansas City Chiefs,Dallas Cowboys,17,16
2012/9/15,Arizona Cardinals,Detroit Lions,25,21
2012/9/15,Baltimore Ravens,Cleveland Browns,14,6
2012/9/15,Atlanta Falcons,St. Louis Rams,31,24
2012/9/15,Houston Texans,Tennessee Titans,30,24
2012/9/15,Green Bay Packers,Washington Redskins,38,20
2012/9/15,Miami Dolphins,Indianapolis Colts,24,20
2012/9/15,Buffalo Bills,Carolina Panthers,24,23
2012/9/15,San Diego Chargers,Philadelphia Eagles,33,30
2012/9/15,Seattle Seahawks,San Francisco 49ers,29,3
2012/9/15,Oakland Raiders,Jacksonville Jaguars,19,9
2012/9/15,Denver Broncos,New York Giants,41,23
2012/9/16,Cincinnati Bengals,Pittsburgh Steelers,20,10
2012/9/19,Kansas City Chiefs,Philadelphia Eagles,26,16
2012/9/22,New England Patriots,Tampa Bay Buccaneers,23,3
2012/9/22,New Orleans Saints,Arizona Cardinals,31,7
2012/9/22,Detroit Lions,Washington Redskins,27,20
2012/9/22,Carolina Panthers,New York Giants,38,0
2012/9/22,Miami Dolphins,Atlanta Falcons,27,23
2012/9/22,Tennessee Titans,San Diego Chargers,20,17
2012/9/22,New York Jets,Buffalo Bills,27,20
2012/9/22,Cincinnati Bengals,Green Bay Packers,34,30
