Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-09-26,15:35:00,486,487.2,485.4,486.48,622136,0
2013-09-26,15:40:00,486.47,486.76,484.75,484.99,280258,0
2013-09-26,15:45:00,485.04,485.74,484.5,485.01,221671,0
2013-09-26,15:50:00,485.19,486.46,484.75,486.289,225791,0
2013-09-26,15:55:00,486.25,486.325,485.62,485.87,185378,0
2013-09-26,16:00:00,485.87,486.5,485.55,486.182,127570,0
2013-09-26,16:05:00,486.2,488.249,486.14,488.12,452834,0
2013-09-26,16:10:00,488.05,488.22,487.51,488.175,234087,0
2013-09-26,16:15:00,488.14,488.56,487.61,487.69,254953,0
2013-09-26,16:20:00,487.675,487.997,487.03,487.86,151372,0
2013-09-26,16:25:00,487.918,488.27,487.611,488.1,132381,0
2013-09-26,16:30:00,488.1,488.35,487.55,487.76,67242,0
2013-09-26,16:35:00,487.78,487.88,486.75,487.12,145939,0
2013-09-26,16:40:00,487.22,487.379,486.76,487.17,94637,0
2013-09-26,16:45:00,487.17,487.25,486.21,486.5,71061,0
2013-09-26,16:50:00,486.57,486.76,485.44,485.86,164242,0
2013-09-26,16:55:00,485.75,486.48,485.44,485.95,109023,0
2013-09-26,17:00:00,485.81,486.14,485.56,485.6,68743,0
2013-09-26,17:05:00,485.58,485.64,484.8,485.59,142088,0
2013-09-26,17:10:00,485.56,485.849,485.05,485.14,81250,0
2013-09-26,17:15:00,485.16,485.26,484.75,485.01,97321,0
2013-09-26,17:20:00,485.04,485.467,484.9,485,70701,0
2013-09-26,17:25:00,485.13,485.36,484.77,485.171,61110,0
2013-09-26,17:30:00,485.14,485.72,485.03,485.4,63204,0
2013-09-26,17:35:00,485.45,485.8,485.32,485.64,52768,0
2013-09-26,17:40:00,485.67,485.67,483.9,484.26,131242,0
2013-09-26,17:45:00,484.26,484.98,484.2,484.6,81266,0
2013-09-26,17:50:00,484.81,485.07,484.6,485.029,37824,0
2013-09-26,17:55:00,484.89,485.01,484.58,484.881,54280,0
2013-09-26,18:00:00,484.881,485.24,484.881,485.176,48458,0
2013-09-26,18:05:00,485.12,485.38,484.72,484.8,47325,0
2013-09-26,18:10:00,484.79,485,484.58,484.7,47850,0
2013-09-26,18:15:00,484.72,485.1,484.47,485,69636,0
2013-09-26,18:20:00,485.011,485.1,484.5,484.585,47599,0
2013-09-26,18:25:00,484.67,485,484.59,484.704,26467,0
2013-09-26,18:30:00,484.74,485.56,484.74,485.46,70821,0
2013-09-26,18:35:00,485.45,485.77,485.45,485.57,64624,0
2013-09-26,18:40:00,485.63,485.77,485.335,485.42,34758,0
2013-09-26,18:45:00,485.445,485.59,485.13,485.41,33044,0
2013-09-26,18:50:00,485.35,485.53,485.13,485.25,27982,0
2013-09-26,18:55:00,485.17,485.4,485.15,485.389,24537,0
2013-09-26,19:00:00,485.38,485.47,485.085,485.206,37457,0
2013-09-26,19:05:00,485.145,485.26,484.77,484.91,41324,0
2013-09-26,19:10:00,484.94,485.8,484.92,485.5,82678,0
