/*C3*/SET SCHEMA PUBLIC
CONNECT USER SA
/*C4*/SET SCHEMA PUBLIC
CONNECT USER SA
/*C3*/INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-A','1','in',-1207828384)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-A','1','out',893677120)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-A','1','ops',178235288)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-A','2','in',1224523040)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-A','2','out',357002368)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-A','2','ops',1507451928)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-B','1','in',748930712)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-B','1','out',1183531128)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-B','1','ops',-1173456240)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-B','2','in',-172263776)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-B','2','out',537227880)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-B','2','ops',1930609160)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-C','1','in',-2063304640)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-C','1','out',-1083038640)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-C','1','ops',-957914280)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-C','2','in',-69525848)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-C','2','out',383094352)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-C','2','ops',-1198554872)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-D','1','in',2116310632)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-D','1','out',-534181312)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-D','1','ops',2015810808)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-D','2','in',-276162568)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-D','2','out',-2111344976)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-D','2','ops',-1393605016)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-A','1','in',1453222288)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-A','1','out',1670326960)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-A','1','ops',-1823846248)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-A','2','in',2052631256)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-A','2','out',1219845928)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-A','2','ops',572726096)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-B','1','in',119675592)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-B','1','out',1940749440)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-B','1','ops',-743313312)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-B','2','in',1986293752)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-B','2','out',-845788856)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-B','2','ops',-1281294976)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-C','1','in',317318048)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-C','1','out',-2023823256)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-C','1','ops',791584488)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-C','2','in',255684720)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-C','2','out',1028611336)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-C','2','ops',-938060432)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-D','1','in',1605853160)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-D','1','out',-764438416)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-D','1','ops',1615599368)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-D','2','in',2060106432)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-D','2','out',-1087587464)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','18','flowlet-D','2','ops',1553725504)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-A','1','in',521234416)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-A','1','out',997288632)
