GroupId,ArtifactId
antlr,antlr
aopalliance,aopalliance
asm,asm
c3p0,c3p0
ch.qos.logback,logback-classic
ch.qos.logback,logback-core
colt,colt
com.101tec,zkclient
com.clearspring.analytics,stream
com.codahale.metrics,metrics-core
com.codahale.metrics,metrics-graphite
com.codahale.metrics,metrics-json
com.codahale.metrics,metrics-jvm
com.esotericsoftware.kryo,kryo
com.esotericsoftware.minlog,minlog
com.esotericsoftware.reflectasm,reflectasm
com.fasterxml.jackson.core,jackson-annotations
com.fasterxml.jackson.core,jackson-core
com.fasterxml.jackson.core,jackson-databind
com.github.stephenc.findbugs,findbugs-annotations
com.github.stephenc.high-scale-lib,high-scale-lib
com.google.code.findbugs,jsr305
com.google.code.gson,gson
com.google.guava,guava
com.google.inject,guice
com.google.inject.extensions,guice-assistedinject
com.google.inject.extensions,guice-multibindings
com.google.inject.extensions,guice-servlet
com.google.protobuf,protobuf-java
com.googlecode.concurrent-trees,concurrent-trees
com.jamesmurty.utils,java-xmlbuilder
com.jcraft,jsch
com.jolbox,bonecp
com.ning,async-http-client
com.ning,compress-lzf
com.sun.jersey,jersey-client
com.sun.jersey,jersey-core
com.sun.jersey,jersey-json
com.sun.jersey,jersey-server
com.sun.jersey.contribs,jersey-guice
com.sun.xml.bind,jaxb-impl
com.thoughtworks.paranamer,paranamer
com.twitter,chill-java
com.twitter,chill_2.10
com.typesafe,config
com.unboundid,unboundid-ldapsdk
com.yammer.metrics,metrics-annotation
com.yammer.metrics,metrics-core
commons-beanutils,commons-beanutils
commons-beanutils,commons-beanutils-core
commons-cli,commons-cli
commons-codec,commons-codec
commons-collections,commons-collections
commons-configuration,commons-configuration
commons-daemon,commons-daemon
commons-digester,commons-digester
commons-el,commons-el
commons-httpclient,commons-httpclient
commons-io,commons-io
commons-lang,commons-lang
commons-logging,commons-logging
commons-net,commons-net
concurrent,concurrent
io.netty,netty
io.netty,netty-all
it.unimi.dsi,fastutil
javax.activation,activation
javax.annotation,javax.annotation-api
javax.annotation,jsr250-api
javax.inject,javax.inject
javax.jdo,jdo-api
javax.mail,mail
javax.servlet,javax.servlet-api
javax.servlet,servlet-api
javax.servlet.jsp,jsp-api
javax.transaction,jta
javax.ws.rs,javax.ws.rs-api
javax.xml.bind,jaxb-api
javax.xml.stream,stax-api
jline,jline
joda-time,joda-time
junit,junit
log4j,log4j
net.java.dev.jets3t,jets3t
net.jcip,jcip-annotations
net.sf.jopt-simple,jopt-simple
net.sf.jpam,jpam
net.sf.py4j,py4j
org.antlr,ST4
org.antlr,antlr-runtime
org.antlr,stringtemplate
org.apache.ant,ant
org.apache.ant,ant-launcher
org.apache.avro,avro
org.apache.avro,avro-ipc
org.apache.avro,avro-mapred
org.apache.commons,commons-compress
org.apache.commons,commons-lang3
org.apache.commons,commons-math
org.apache.commons,commons-math3
org.apache.curator,curator-client
org.apache.curator,curator-framework
org.apache.curator,curator-recipes
org.apache.derby,derby
org.apache.flume,flume-ng-configuration
org.apache.flume,flume-ng-core
org.apache.flume,flume-ng-sdk
org.apache.geronimo.components,geronimo-jaspi
org.apache.geronimo.specs,geronimo-annotation_1.0_spec
org.apache.geronimo.specs,geronimo-jaspic_1.0_spec
org.apache.geronimo.specs,geronimo-jta_1.1_spec
org.apache.hadoop,hadoop-annotations
org.apache.hadoop,hadoop-auth
org.apache.hadoop,hadoop-client
org.apache.hadoop,hadoop-common
org.apache.hadoop,hadoop-hdfs
org.apache.hadoop,hadoop-mapreduce-client-app
org.apache.hadoop,hadoop-mapreduce-client-common
org.apache.hadoop,hadoop-mapreduce-client-core
org.apache.hadoop,hadoop-mapreduce-client-hs
org.apache.hadoop,hadoop-mapreduce-client-jobclient
org.apache.hadoop,hadoop-mapreduce-client-shuffle
org.apache.hadoop,hadoop-minicluster
org.apache.hadoop,hadoop-yarn-api
org.apache.hadoop,hadoop-yarn-client
org.apache.hadoop,hadoop-yarn-common
org.apache.hadoop,hadoop-yarn-server-common
org.apache.hadoop,hadoop-yarn-server-nodemanager
org.apache.hadoop,hadoop-yarn-server-resourcemanager
org.apache.hadoop,hadoop-yarn-server-tests
org.apache.hadoop,hadoop-yarn-server-web-proxy
org.apache.hbase,hbase
org.apache.hbase,hbase-client
org.apache.hbase,hbase-common
org.apache.hbase,hbase-hadoop-compat
org.apache.hbase,hbase-hadoop2-compat
org.apache.hbase,hbase-prefix-tree
org.apache.hbase,hbase-protocol
org.apache.hbase,hbase-server
org.apache.hbase,hbase-testing-util
org.apache.hive,hive-ant
org.apache.hive,hive-common
org.apache.hive,hive-jdbc
org.apache.hive,hive-metastore
org.apache.hive,hive-serde
org.apache.hive,hive-service
org.apache.hive,hive-shims
org.apache.hive.shims,hive-shims-0.20
org.apache.hive.shims,hive-shims-0.20S
org.apache.hive.shims,hive-shims-0.23
org.apache.hive.shims,hive-shims-common
org.apache.hive.shims,hive-shims-common-secure
org.apache.httpcomponents,httpclient
org.apache.httpcomponents,httpcore
org.apache.kafka,kafka_2.10
org.apache.mesos,mesos
org.apache.spark,spark-core_2.10
org.apache.thrift,libfb303
org.apache.thrift,libthrift
org.apache.twill,twill-api
org.apache.twill,twill-common
org.apache.twill,twill-core
org.apache.twill,twill-discovery-api
org.apache.twill,twill-discovery-core
org.apache.twill,twill-yarn
org.apache.twill,twill-zookeeper
org.apache.velocity,velocity
org.apache.xbean,xbean-reflect
org.apache.zookeeper,zookeeper
org.cloudera.htrace,htrace-core
org.codehaus.jackson,jackson-core-asl
org.codehaus.jackson,jackson-jaxrs
org.codehaus.jackson,jackson-mapper-asl
org.codehaus.jackson,jackson-xc
org.codehaus.jettison,jettison
org.datanucleus,datanucleus-api-jdo
org.datanucleus,datanucleus-core
org.datanucleus,datanucleus-rdbms
org.eclipse.jdt,core
org.eclipse.jetty,jetty-continuation
org.eclipse.jetty,jetty-http
org.eclipse.jetty,jetty-io
org.eclipse.jetty,jetty-jaspi
org.eclipse.jetty,jetty-jndi
org.eclipse.jetty,jetty-plus
org.eclipse.jetty,jetty-security
org.eclipse.jetty,jetty-server
org.eclipse.jetty,jetty-servlet
org.eclipse.jetty,jetty-util
org.eclipse.jetty,jetty-webapp
org.eclipse.jetty,jetty-xml
org.eclipse.jetty.aggregate,jetty-all
org.eclipse.jetty.orbit,javax.activation
org.eclipse.jetty.orbit,javax.mail.glassfish
org.eclipse.jetty.orbit,javax.security.auth.message
org.eclipse.jetty.orbit,javax.servlet
org.eclipse.jetty.orbit,javax.transaction
org.glassfish.hk2,hk2-api
org.glassfish.hk2,hk2-locator
org.glassfish.hk2,hk2-utils
org.glassfish.hk2,osgi-resource-locator
org.glassfish.hk2.external,asm-all-repackaged
org.glassfish.hk2.external,cglib
org.glassfish.hk2.external,javax.inject
org.glassfish.jersey.core,jersey-common
org.hamcrest,hamcrest-core
org.iq80.leveldb,leveldb
org.iq80.leveldb,leveldb-api
org.iq80.snappy,snappy
org.jamon,jamon-runtime
org.jboss.resteasy,async-http-servlet-3.0
org.jboss.resteasy,jaxrs-api
org.jboss.resteasy,resteasy-guice
org.jboss.resteasy,resteasy-jaxrs
org.jboss.resteasy,resteasy-servlet-initializer
org.jboss.spec.javax.annotation,jboss-annotations-api_1.1_spec
org.json4s,json4s-ast_2.10
org.json4s,json4s-core_2.10
org.json4s,json4s-jackson_2.10
org.mockito,mockito-core
org.mortbay.jetty,jetty
org.mortbay.jetty,jetty-sslengine
org.mortbay.jetty,jetty-util
org.mortbay.jetty,jsp-2.1
org.mortbay.jetty,jsp-api-2.1
org.mortbay.jetty,servlet-api-2.5
org.objenesis,objenesis
org.ow2.asm,asm-all
org.quartz-scheduler,quartz
org.quartz-scheduler,quartz-jobs
org.scala-lang,scala-compiler
org.scala-lang,scala-library
org.scala-lang,scala-reflect
org.scala-lang,scalap
org.slf4j,jcl-over-slf4j
org.slf4j,jul-to-slf4j
org.slf4j,log4j-over-slf4j
org.slf4j,slf4j-api
org.slf4j,slf4j-log4j12
org.spark-project,pyrolite
org.spark-project.akka,akka-actor_2.10
org.spark-project.akka,akka-remote_2.10
org.spark-project.akka,akka-slf4j_2.10
org.spark-project.protobuf,protobuf-java
org.tachyonproject,tachyon
org.tukaani,xz
org.uncommons.maths,uncommons-maths
org.xerial.snappy,snappy-java
oro,oro
stax,stax-api
tomcat,jasper-compiler
tomcat,jasper-runtime
xmlenc,xmlenc
