GroupId,ArtifactId
commons-logging,commons-logging
com.google.guava,guava
com.google.inject,guice
com.google.inject.extensions,guice-assistedinject
com.google.inject.extensions,guice-multibindings
com.google.inject.extensions,guice-servlet
org.jboss.resteasy,resteasy-servlet-initializer
org.jboss.resteasy,resteasy-guice
com.google.code.findbugs,jsr305
com.google.code.gson,gson
org.apache.avro,avro
org.slf4j,slf4j-api
org.apache.avro,avro-ipc
org.mortbay.jetty,jetty
org.mortbay.jetty,jetty-util
org.jboss.netty,netty
org.slf4j,slf4j-api
org.mortbay.jetty,servlet-api
org.apache.velocity,velocity
org.apache.avro,avro-mapred
org.mortbay.jetty,servlet-api
org.apache.flume,flume-ng-sdk
org.apache.avro,avro-ipc
org.mortbay.jetty,servlet-api
commons-io,commons-io
org.apache.flume,flume-ng-core
org.slf4j,slf4j-log4j12
org.mortbay.jetty,servlet-api
commons-io,commons-io
org.apache.zookeeper,zookeeper
org.slf4j,slf4j-api
org.slf4j,slf4j-log4j12
log4j,log4j
junit,junit
org.jboss.netty,netty
io.netty,netty
ch.qos.logback,logback-core
ch.qos.logback,logback-classic
org.ow2.asm,asm-all
org.apache.kafka,kafka_2.10
org.slf4j,slf4j-simple
com.sun.jdmk,jmxtools
com.sun.jmx,jmxri
org.iq80.leveldb,leveldb
it.unimi.dsi,fastutil
org.apache.httpcomponents,httpclient
org.apache.httpcomponents,httpcore
commons-codec,commons-codec
org.apache.twill,twill-common
org.apache.twill,twill-core
org.apache.twill,twill-discovery-api
org.apache.twill,twill-discovery-core
org.apache.twill,twill-yarn
asm,asm
javax.servlet,servlet-api
com.sun.jersey,jersey-core
com.sun.jersey,jersey-server
com.sun.jersey,jersey-json
com.sun.jersey.contribs,jersey-guice
com.google.inject.extensions,guice-servlet
org.mortbay.jetty,jetty
org.mortbay.jetty,jetty-util
org.apache.twill,twill-zookeeper
org.apache.thrift,libthrift
org.apache.httpcomponents,httpclient
org.apache.httpcomponents,httpcore
org.apache.hadoop,hadoop-common
commons-logging,commons-logging
log4j,log4j
org.slf4j,slf4j-log4j12
org.apache.avro,avro
org.apache.zookeeper,zookeeper
com.google.guava,guava
com.sun.jersey,jersey-core
com.sun.jersey,jersey-json
com.sun.jersey,jersey-server
javax.servlet,servlet-api
org.mortbay.jetty,jetty
org.mortbay.jetty,jetty-util
tomcat,jasper-compiler
tomcat,jasper-runtime
javax.servlet.jsp,jsp-api
org.slf4j,slf4j-api
org.apache.hadoop,hadoop-hdfs
org.apache.hadoop,hadoop-mapreduce-client-core
org.slf4j,slf4j-log4j12
com.google.inject.extensions,guice-servlet
com.sun.jersey,jersey-core
com.sun.jersey,jersey-server
com.sun.jersey,jersey-json
com.sun.jersey.contribs,jersey-guice
javax.servlet,servlet-api
org.apache.hadoop,hadoop-mapreduce-client-common
org.slf4j,slf4j-log4j12
com.google.inject.extensions,guice-servlet
org.apache.hbase,hbase
junit,junit
commons-logging,commons-logging
log4j,log4j
org.slf4j,slf4j-log4j12
org.apache.thrift,libthrift
org.mortbay.jetty,jetty
org.mortbay.jetty,jetty-util
org.mortbay.jetty,jsp-2.1
org.mortbay.jetty,jsp-api-2.1
org.mortbay.jetty,servlet-api-2.5
org.jruby,jruby-complete
tomcat,jasper-compiler
tomcat,jasper-runtime
com.sun.jersey,jersey-core
com.sun.jersey,jersey-json
com.sun.jersey,jersey-server
org.apache.avro,avro
org.apache.avro,avro-ipc
org.apache.hbase,hbase-common
org.apache.hbase,hbase-client
io.netty,netty
org.apache.hbase,hbase-protocol
org.apache.hbase,hbase-server
org.mortbay.jetty,jetty
org.mortbay.jetty,jetty-util
org.mortbay.jetty,jsp-2.1
org.mortbay.jetty,jsp-api-2.1
org.mortbay.jetty,servlet-api-2.5
org.mortbay.jetty,jetty-sslengine
org.jruby,jruby-complete
tomcat,jasper-compiler
tomcat,jasper-runtime
com.sun.jersey,jersey-core
com.sun.jersey,jersey-json
com.sun.jersey,jersey-server
org.apache.hadoop,hadoop-client
org.apache.hadoop,hadoop-mapreduce-client-jobclient
org.apache.hadoop,hadoop-hdfs
org.apache.shiro,shiro-core
org.slf4j,slf4j-api
org.apache.shiro,shiro-guice
mysql,mysql-connector-java
org.mortbay.jetty,jetty
org.mortbay.jetty,jetty-management
org.quartz-scheduler,quartz
org.quartz-scheduler,quartz-jobs
com.ning,async-http-client
io.netty,netty
org.eclipse.jetty,jetty-server
org.eclipse.jetty,jetty-security
org.eclipse.jetty,jetty-util
org.eclipse.jetty,jetty-jaspi
org.eclipse.jetty,jetty-plus
org.apache.geronimo.components,geronimo-jaspi
org.apache.hive,hive-beeline
org.apache.hive,hive-exec
com.google.guava,guava
asm,asm-commons
asm,asm-tree
org.slf4j,slf4j-log4j12
org.apache.hive,hive-jdbc
org.apache.hive,hive-exec
com.google.guava,guava
asm,asm-commons
asm,asm-tree
org.slf4j,slf4j-log4j12
org.apache.hive,hive-metastore
org.apache.hive,hive-exec
com.google.guava,guava
asm,asm-commons
asm,asm-tree
org.slf4j,slf4j-log4j12
com.continuuity,hive-exec
com.google.guava,guava
org.apache.avro,avro-mapred
org.codehaus.groovy,groovy-all
org.slf4j,slf4j-log4j12
javax.servlet,javax.servlet-api
