Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-09-26,15:35:00,878.3,880.9,877.46,879.81,64674,0
2013-09-26,15:40:00,879.857,882.49,879.857,880.44,38617,0
2013-09-26,15:45:00,880.33,881.14,879.25,879.46,20719,0
2013-09-26,15:50:00,879.51,879.995,879.03,879.56,10590,0
2013-09-26,15:55:00,879.81,879.81,876.64,877.02,33797,0
2013-09-26,16:00:00,877.02,878.51,876.6,878.11,28080,0
2013-09-26,16:05:00,878.34,879.15,877.78,878.16,15176,0
2013-09-26,16:10:00,878.3,880,878.3,879.99,15868,0
2013-09-26,16:15:00,879.56,880.33,879.385,880.01,60797,0
2013-09-26,16:20:00,880.03,881.83,879.68,881.83,25662,0
2013-09-26,16:25:00,881.605,882.75,880.84,881.461,19489,0
2013-09-26,16:30:00,881.235,881.77,880.85,881.71,13694,0
2013-09-26,16:35:00,881.85,882.42,881.15,881.378,11082,0
2013-09-26,16:40:00,881.21,881.74,880.61,881.04,8965,0
2013-09-26,16:45:00,880.8,881.3,879.76,879.76,13411,0
2013-09-26,16:50:00,879.76,879.76,877.51,878.36,25808,0
2013-09-26,16:55:00,878.37,878.73,877.57,877.59,27700,0
2013-09-26,17:00:00,877.86,878.34,877.29,878,16263,0
2013-09-26,17:05:00,878.26,878.26,877,877.22,13755,0
2013-09-26,17:10:00,877.22,877.54,876.43,877.54,24511,0
2013-09-26,17:15:00,877.57,877.7,876.81,877.49,8569,0
2013-09-26,17:20:00,877.39,877.43,875.6,876.451,26151,0
2013-09-26,17:25:00,876.34,878,875.73,877.81,11023,0
2013-09-26,17:30:00,877.991,878.84,877.52,877.74,10987,0
2013-09-26,17:35:00,877.64,878.52,877.38,877.52,7167,0
2013-09-26,17:40:00,877.765,877.765,876.81,877.01,8783,0
2013-09-26,17:45:00,877.01,877.84,877.01,877.84,5850,0
2013-09-26,17:50:00,877.65,878.29,877.65,877.97,8845,0
2013-09-26,17:55:00,877.77,877.975,877.08,877.93,3982,0
2013-09-26,18:00:00,877.87,878.63,877.79,878.41,9616,0
2013-09-26,18:05:00,878.58,878.999,878.2,878.33,6711,0
2013-09-26,18:10:00,878.48,878.67,877.92,878.3,5500,0
2013-09-26,18:15:00,878.09,878.45,877.991,878.42,6507,0
2013-09-26,18:20:00,878.34,878.361,877.26,877.59,5628,0
2013-09-26,18:25:00,877.86,878.42,877.85,878.39,3906,0
2013-09-26,18:30:00,878.44,879.14,878.24,879.08,5989,0
2013-09-26,18:35:00,879.14,880.7,879.03,880.1,21531,0
2013-09-26,18:40:00,880.24,880.25,879.5,879.5,4819,0
2013-09-26,18:45:00,879.29,879.929,879.28,879.57,2000,0
2013-09-26,18:50:00,879.85,880.42,879.57,879.8,6720,0
2013-09-26,18:55:00,879.47,879.67,878.91,878.93,4484,0
2013-09-26,19:00:00,878.88,879.28,878.5,878.71,6987,0
2013-09-26,19:05:00,879.2,879.215,878.88,878.88,2473,0
2013-09-26,19:10:00,878.92,880.142,878.92,879.46,6007,0
2013-09-26,19:15:00,879.35,880.09,879.01,879.81,22595,0
2013-09-26,19:20:00,879.85,880,879.05,879.13,5598,0
2013-09-26,19:25:00,879.39,879.8,879.025,879.718,18689,0
2013-09-26,19:30:00,879.584,879.936,879.04,879.62,7648,0
2013-09-26,19:35:00,879.553,879.719,878.42,878.56,5020,0
2013-09-26,19:40:00,878.26,878.61,877.76,878.03,5525,0
2013-09-26,19:45:00,878.15,878.71,877.76,877.97,5211,0
2013-09-26,19:50:00,877.83,878.25,877.12,878.25,8068,0
2013-09-26,19:55:00,878.25,878.409,877.22,877.44,8520,0
2013-09-26,20:00:00,877.705,879.29,877.62,878.93,6832,0
2013-09-26,20:05:00,878.74,879.06,877.141,878,14526,0
2013-09-26,20:10:00,877.95,878.04,877.05,878.04,8279,0
2013-09-26,20:15:00,877.9,878.064,877.24,877.7,9268,0
2013-09-26,20:20:00,877.63,878.29,877.38,877.8,5400,0
2013-09-26,20:25:00,877.875,878.18,877.03,878.07,4331,0
2013-09-26,20:30:00,878.01,878.2,877.13,877.31,8790,0
2013-09-26,20:35:00,877.19,877.55,876.66,877.05,8695,0
2013-09-26,20:40:00,877.23,877.23,876.46,876.71,7371,0
2013-09-26,20:45:00,876.5,876.61,875.28,876.35,26897,0
2013-09-26,20:50:00,876.12,876.19,875.147,875.94,10578,0
2013-09-26,20:55:00,875.99,876.12,875.02,875.1,19299,0
2013-09-26,21:00:00,875.34,876.21,875.215,875.939,8153,0
2013-09-26,21:05:00,875.72,876.24,875.26,875.84,10276,0
2013-09-26,21:10:00,875.86,876.81,875.52,876.33,9862,0
2013-09-26,21:15:00,876.21,876.24,875,875.01,11919,0
2013-09-26,21:20:00,875.026,875.52,875.01,875.34,9753,0
2013-09-26,21:25:00,875.33,876.13,875.2,875.54,13464,0
2013-09-26,21:30:00,875.71,875.79,875.07,875.41,12415,0
2013-09-26,21:35:00,875.25,876.2,875,875.634,23064,0
2013-09-26,21:40:00,875.685,876.88,875.685,876.508,24897,0
2013-09-26,21:45:00,876.424,877.11,876.15,876.55,18120,0
2013-09-26,21:50:00,876.62,877.4,876,877.32,29297,0
2013-09-26,21:55:00,877.29,878,876,876,27831,0
2013-09-26,22:00:00,876.02,878.4,875.83,878.17,98552,0
2013-09-27,15:35:00,874.97,876,873.98,874.02,30447,0
2013-09-27,15:40:00,874.05,874.48,872.9,873.346,25767,0
2013-09-27,15:45:00,872.9,873.86,872.56,873.56,19417,0
2013-09-27,15:50:00,873.38,874,872.79,873.4,18953,0
2013-09-27,15:55:00,873.45,873.83,873,873.83,13776,0
2013-09-27,16:00:00,873.88,873.91,872,872.05,26147,0
2013-09-27,16:05:00,872.125,872.24,871.31,872,35995,0
2013-09-27,16:10:00,871.85,872.51,871.84,872.35,21579,0
2013-09-27,16:15:00,872.37,873,872.06,872.92,8617,0
2013-09-27,16:20:00,873.17,874.76,873.043,873.814,30776,0
2013-09-27,16:25:00,873.62,874.28,873.37,873.51,52695,0
2013-09-27,16:30:00,873.849,873.86,873.17,873.41,11596,0
2013-09-27,16:35:00,873.51,874.53,872.88,874.34,43571,0
2013-09-27,16:40:00,874.5,875,874,874.03,13749,0
2013-09-27,16:45:00,874.39,874.82,874.153,874.37,20573,0
2013-09-27,16:50:00,874.53,875.07,873.92,873.98,9985,0
2013-09-27,16:55:00,874.09,874.57,873.21,873.45,15687,0
2013-09-27,17:00:00,873.425,873.6,873.11,873.6,18032,0
2013-09-27,17:05:00,873.57,873.83,873.172,873.35,6701,0
2013-09-27,17:10:00,873.3,873.301,872.664,873,7200,0
2013-09-27,17:15:00,872.95,873.37,872.67,872.87,8435,0
2013-09-27,17:20:00,872.77,873.33,872.72,873.2,3830,0
2013-09-27,17:25:00,872.9,873.32,872.77,873.32,7026,0
