Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-09-26,15:35:00,84.59,84.85,84.5,84.56,59022,0
2013-09-26,15:40:00,84.55,84.6,84.4,84.4,75470,0
2013-09-26,15:45:00,84.42,84.53,84.27,84.36,83433,0
2013-09-26,15:50:00,84.33,84.5,84.31,84.35,66330,0
2013-09-26,15:55:00,84.35,84.6,84.35,84.44,58899,0
2013-09-26,16:00:00,84.45,84.57,84.44,84.52,35257,0
2013-09-26,16:05:00,84.53,84.65,84.48,84.64,43932,0
2013-09-26,16:10:00,84.64,84.74,84.59,84.66,65585,0
2013-09-26,16:15:00,84.66,84.66,84.42,84.43,32886,0
2013-09-26,16:20:00,84.44,84.52,84.42,84.5,54879,0
2013-09-26,16:25:00,84.5,84.5,84.32,84.39,42485,0
2013-09-26,16:30:00,84.38,84.47,84.35,84.41,35402,0
2013-09-26,16:35:00,84.42,84.49,84.35,84.45,19061,0
2013-09-26,16:40:00,84.44,84.48,84.36,84.4,21234,0
2013-09-26,16:45:00,84.39,84.41,84.25,84.38,58405,0
2013-09-26,16:50:00,84.37,84.37,84.15,84.33,40846,0
2013-09-26,16:55:00,84.33,84.35,84.22,84.24,33655,0
2013-09-26,17:00:00,84.23,84.34,84.18,84.27,29984,0
2013-09-26,17:05:00,84.26,84.26,84.19,84.25,26152,0
2013-09-26,17:10:00,84.24,84.29,84.19,84.25,20996,0
2013-09-26,17:15:00,84.23,84.23,84.12,84.13,43979,0
2013-09-26,17:20:00,84.12,84.14,84.01,84.05,70880,0
2013-09-26,17:25:00,84.05,84.12,84.01,84.12,32604,0
2013-09-26,17:30:00,84.12,84.13,84.01,84.1,44438,0
2013-09-26,17:35:00,84.11,84.27,84.11,84.21,26718,0
2013-09-26,17:40:00,84.23,84.23,84.12,84.12,13809,0
2013-09-26,17:45:00,84.11,84.21,84.11,84.17,17234,0
2013-09-26,17:50:00,84.17,84.19,84.1,84.13,26480,0
2013-09-26,17:55:00,84.12,84.13,84.02,84.1,24565,0
2013-09-26,18:00:00,84.1,84.18,84.1,84.15,21034,0
2013-09-26,18:05:00,84.15,84.2,84.14,84.14,10336,0
2013-09-26,18:10:00,84.13,84.16,84.08,84.11,16336,0
2013-09-26,18:15:00,84.12,84.12,84.06,84.08,12953,0
2013-09-26,18:20:00,84.08,84.08,84.02,84.05,53377,0
2013-09-26,18:25:00,84.04,84.11,84.03,84.07,19615,0
2013-09-26,18:30:00,84.06,84.09,84.05,84.09,14635,0
2013-09-26,18:35:00,84.07,84.15,84.07,84.14,13812,0
2013-09-26,18:40:00,84.13,84.15,84.09,84.12,16246,0
2013-09-26,18:45:00,84.12,84.2,84.12,84.2,14426,0
2013-09-26,18:50:00,84.2,84.23,84.1,84.15,27243,0
2013-09-26,18:55:00,84.15,84.16,84.04,84.04,25564,0
2013-09-26,19:00:00,84.05,84.09,84.03,84.04,13318,0
2013-09-26,19:05:00,84.04,84.07,84,84,51701,0
2013-09-26,19:10:00,84,84.1,84,84.08,19023,0
2013-09-26,19:15:00,84.07,84.14,84.02,84.14,12830,0
2013-09-26,19:20:00,84.14,84.16,84.06,84.13,17485,0
2013-09-26,19:25:00,84.12,84.12,84.03,84.03,12047,0
2013-09-26,19:30:00,84.03,84.04,84.01,84.03,8964,0
2013-09-26,19:35:00,84.02,84.06,84,84,36496,0
2013-09-26,19:40:00,84,84.02,83.95,83.98,38058,0
2013-09-26,19:45:00,83.99,84.04,83.93,83.95,25685,0
2013-09-26,19:50:00,83.94,84.01,83.93,84,30787,0
2013-09-26,19:55:00,84,84.03,83.98,84,17997,0
2013-09-26,20:00:00,84,84.02,83.98,83.98,19499,0
2013-09-26,20:05:00,83.99,84.03,83.94,83.96,79629,0
2013-09-26,20:10:00,83.96,84.01,83.92,84.01,31289,0
2013-09-26,20:15:00,84.01,84.07,83.98,84.01,30349,0
2013-09-26,20:20:00,84.01,84.01,83.99,83.99,14730,0
2013-09-26,20:25:00,84,84.03,83.96,84,48318,0
2013-09-26,20:30:00,84,84.04,83.99,84,34054,0
2013-09-26,20:35:00,84,84.02,83.96,84.01,32123,0
2013-09-26,20:40:00,84,84.03,83.94,84.01,27873,0
2013-09-26,20:45:00,84.01,84.08,83.99,84,63099,0
2013-09-26,20:50:00,83.99,84.01,83.96,83.99,26327,0
2013-09-26,20:55:00,83.97,84,83.94,83.96,26787,0
2013-09-26,21:00:00,83.95,84.02,83.95,83.97,18622,0
2013-09-26,21:05:00,83.96,84.01,83.93,83.95,26211,0
2013-09-26,21:10:00,83.95,84.03,83.93,83.96,25570,0
2013-09-26,21:15:00,83.97,83.98,83.9,83.91,61688,0
2013-09-26,21:20:00,83.93,83.96,83.92,83.92,25735,0
2013-09-26,21:25:00,83.92,84,83.91,83.96,42539,0
2013-09-26,21:30:00,83.95,84.01,83.94,83.97,48439,0
2013-09-26,21:35:00,83.97,84.06,83.93,84.04,92676,0
2013-09-26,21:40:00,84.04,84.08,83.99,84.03,76309,0
2013-09-26,21:45:00,84.02,84.06,84.01,84.03,63300,0
2013-09-26,21:50:00,84.03,84.06,84.03,84.05,97965,0
2013-09-26,21:55:00,84.05,84.11,84.05,84.07,132124,0
2013-09-26,22:00:00,84.07,84.21,84.04,84.2,1645730,0
2013-09-27,15:35:00,83.62,83.73,83.4,83.66,82046,0
2013-09-27,15:40:00,83.65,83.87,83.63,83.65,63147,0
2013-09-27,15:45:00,83.64,83.82,83.57,83.75,50670,0
2013-09-27,15:50:00,83.74,83.74,83.51,83.61,85063,0
2013-09-27,15:55:00,83.6,83.62,83.51,83.55,53323,0
2013-09-27,16:00:00,83.56,83.63,83.47,83.55,47958,0
2013-09-27,16:05:00,83.54,83.6,83.38,83.5,57324,0
2013-09-27,16:10:00,83.49,83.64,83.49,83.64,52174,0
2013-09-27,16:15:00,83.63,83.69,83.6,83.61,25028,0
2013-09-27,16:20:00,83.61,83.77,83.59,83.69,53344,0
2013-09-27,16:25:00,83.68,83.76,83.63,83.71,41904,0
2013-09-27,16:30:00,83.7,83.81,83.64,83.81,30700,0
2013-09-27,16:35:00,83.8,83.82,83.74,83.8,51531,0
2013-09-27,16:40:00,83.8,83.88,83.75,83.76,23646,0
2013-09-27,16:45:00,83.76,83.82,83.73,83.76,46463,0
2013-09-27,16:50:00,83.75,83.82,83.67,83.78,27218,0
2013-09-27,16:55:00,83.78,83.83,83.77,83.8,33193,0
2013-09-27,17:00:00,83.81,83.87,83.8,83.81,25620,0
2013-09-27,17:05:00,83.81,83.84,83.71,83.71,22752,0
2013-09-27,17:10:00,83.7,83.79,83.67,83.76,39509,0
2013-09-27,17:15:00,83.76,83.78,83.7,83.78,23072,0
2013-09-27,17:20:00,83.77,83.8,83.7,83.72,35066,0
2013-09-27,17:25:00,83.71,83.78,83.69,83.72,17664,0
2013-09-27,17:30:00,83.7,83.8,83.69,83.75,20471,0
2013-09-27,17:35:00,83.75,83.78,83.69,83.77,20227,0
2013-09-27,17:40:00,83.77,83.9,83.76,83.79,50380,0
2013-09-27,17:45:00,83.78,83.83,83.73,83.75,23486,0
2013-09-27,17:50:00,83.75,83.77,83.65,83.68,34855,0
2013-09-27,17:55:00,83.68,83.7,83.63,83.65,16532,0
2013-09-27,18:00:00,83.64,83.64,83.55,83.62,34544,0
2013-09-27,18:05:00,83.62,83.68,83.61,83.67,10496,0
2013-09-27,18:10:00,83.66,83.67,83.62,83.64,13576,0
2013-09-27,18:15:00,83.63,83.63,83.58,83.62,15550,0
2013-09-27,18:20:00,83.62,83.68,83.61,83.68,14147,0
2013-09-27,18:25:00,83.68,83.76,83.67,83.74,38844,0
2013-09-27,18:30:00,83.73,83.73,83.67,83.71,15969,0
2013-09-27,18:35:00,83.7,83.74,83.7,83.74,8962,0
2013-09-27,18:40:00,83.75,83.75,83.66,83.69,13317,0
2013-09-27,18:45:00,83.69,83.73,83.67,83.7,15965,0
2013-09-27,18:50:00,83.7,83.74,83.67,83.71,14636,0
2013-09-27,18:55:00,83.72,83.77,83.72,83.73,14239,0
2013-09-27,19:00:00,83.74,83.74,83.68,83.74,17845,0
2013-09-27,19:05:00,83.75,83.77,83.7,83.72,11328,0
2013-09-27,19:10:00,83.74,83.78,83.72,83.77,7138,0
2013-09-27,19:15:00,83.78,83.81,83.75,83.8,14629,0
2013-09-27,19:20:00,83.8,83.82,83.75,83.75,13589,0
2013-09-27,19:25:00,83.76,83.76,83.7,83.75,8589,0
2013-09-27,19:30:00,83.74,83.75,83.7,83.74,13488,0
2013-09-27,19:35:00,83.73,83.8,83.71,83.8,22861,0
2013-09-27,19:40:00,83.8,83.8,83.76,83.77,18699,0
2013-09-27,19:45:00,83.77,83.86,83.77,83.79,26654,0
2013-09-27,19:50:00,83.81,83.82,83.78,83.82,12608,0
2013-09-27,19:55:00,83.83,83.85,83.74,83.75,19305,0
2013-09-27,20:00:00,83.75,83.76,83.7,83.76,19815,0
2013-09-27,20:05:00,83.76,83.76,83.7,83.72,29423,0
2013-09-27,20:10:00,83.71,83.72,83.62,83.62,37803,0
2013-09-27,20:15:00,83.63,83.67,83.61,83.67,32079,0
2013-09-27,20:20:00,83.66,83.67,83.62,83.63,14653,0
2013-09-27,20:25:00,83.64,83.68,83.64,83.66,11604,0
2013-09-27,20:30:00,83.67,83.71,83.65,83.71,16401,0
2013-09-27,20:35:00,83.7,83.7,83.63,83.66,22068,0
2013-09-27,20:40:00,83.65,83.74,83.62,83.72,27027,0
2013-09-27,20:45:00,83.72,83.78,83.72,83.77,37287,0
2013-09-27,20:50:00,83.77,83.83,83.75,83.75,31473,0
2013-09-27,20:55:00,83.75,83.77,83.73,83.74,11729,0
2013-09-27,21:00:00,83.75,83.75,83.71,83.71,29264,0
2013-09-27,21:05:00,83.71,83.79,83.7,83.75,25787,0
2013-09-27,21:10:00,83.74,83.79,83.72,83.73,50532,0
2013-09-27,21:15:00,83.73,83.77,83.71,83.71,54066,0
2013-09-27,21:20:00,83.7,83.72,83.65,83.65,50315,0
2013-09-27,21:25:00,83.65,83.69,83.61,83.63,39785,0
2013-09-27,21:30:00,83.63,83.75,83.62,83.73,28818,0
2013-09-27,21:35:00,83.74,83.74,83.72,83.73,32507,0
2013-09-27,21:40:00,83.73,83.89,83.72,83.86,88025,0
2013-09-27,21:45:00,83.87,83.9,83.8,83.81,68487,0
2013-09-27,21:50:00,83.81,83.85,83.78,83.8,73876,0
2013-09-27,21:55:00,83.8,83.89,83.78,83.86,112162,0
2013-09-27,22:00:00,83.86,83.92,83.77,83.8,615845,0
2013-09-30,15:35:00,82.95,83.44,82.83,83.4,91180,0
2013-09-30,15:40:00,83.44,83.46,83.32,83.33,49558,0
2013-09-30,15:45:00,83.32,83.74,83.32,83.56,62246,0
2013-09-30,15:50:00,83.57,83.61,83.3,83.41,63043,0
2013-09-30,15:55:00,83.42,83.7,83.36,83.56,41903,0
2013-09-30,16:00:00,83.53,83.53,83.39,83.42,35350,0
2013-09-30,16:05:00,83.42,83.49,83.4,83.4,32001,0
2013-09-30,16:10:00,83.42,83.59,83.42,83.54,56330,0
2013-09-30,16:15:00,83.54,83.6,83.48,83.55,32557,0
2013-09-30,16:20:00,83.54,83.65,83.54,83.58,48402,0
2013-09-30,16:25:00,83.58,83.65,83.57,83.61,34972,0
2013-09-30,16:30:00,83.6,83.69,83.58,83.63,23790,0
2013-09-30,16:35:00,83.65,83.7,83.55,83.65,78304,0
2013-09-30,16:40:00,83.65,83.71,83.57,83.58,68618,0
2013-09-30,16:45:00,83.58,83.8,83.58,83.79,43819,0
2013-09-30,16:50:00,83.8,83.83,83.69,83.74,39690,0
2013-09-30,16:55:00,83.75,83.8,83.62,83.64,25723,0
2013-09-30,17:00:00,83.64,83.68,83.58,83.64,23627,0
2013-09-30,17:05:00,83.61,83.68,83.61,83.68,42653,0
2013-09-30,17:10:00,83.69,83.79,83.64,83.66,66444,0
2013-09-30,17:15:00,83.67,83.67,83.55,83.55,17530,0
2013-09-30,17:20:00,83.54,83.62,83.53,83.6,39648,0
2013-09-30,17:25:00,83.61,83.64,83.55,83.6,21475,0
2013-09-30,17:30:00,83.59,83.64,83.57,83.58,22282,0
2013-09-30,17:35:00,83.58,83.59,83.5,83.51,43217,0
2013-09-30,17:40:00,83.51,83.56,83.48,83.48,22295,0
2013-09-30,17:45:00,83.48,83.51,83.44,83.46,15691,0
2013-09-30,17:50:00,83.46,83.47,83.34,83.35,44278,0
2013-09-30,17:55:00,83.35,83.39,83.34,83.35,24807,0
2013-09-30,18:00:00,83.35,83.4,83.34,83.38,17884,0
2013-09-30,18:05:00,83.38,83.39,83.28,83.28,27749,0
2013-09-30,18:10:00,83.28,83.33,83.23,83.26,36449,0
2013-09-30,18:15:00,83.26,83.28,83.2,83.21,29081,0
2013-09-30,18:20:00,83.21,83.24,83.13,83.18,35442,0
2013-09-30,18:25:00,83.18,83.2,83.13,83.16,22900,0
2013-09-30,18:30:00,83.15,83.21,83.13,83.17,32016,0
2013-09-30,18:35:00,83.16,83.16,83.12,83.12,15588,0
2013-09-30,18:40:00,83.13,83.19,83.11,83.16,16325,0
2013-09-30,18:45:00,83.17,83.22,83.12,83.22,28029,0
2013-09-30,18:50:00,83.22,83.22,83.17,83.19,22013,0
2013-09-30,18:55:00,83.19,83.24,83.18,83.2,31992,0
2013-09-30,19:00:00,83.2,83.27,83.18,83.26,73815,0
2013-09-30,19:05:00,83.26,83.37,83.26,83.32,45648,0
2013-09-30,19:10:00,83.32,83.38,83.31,83.37,45911,0
2013-09-30,19:15:00,83.37,83.37,83.31,83.35,21681,0
2013-09-30,19:20:00,83.35,83.53,83.33,83.52,55102,0
2013-09-30,19:25:00,83.52,83.61,83.48,83.6,93743,0
2013-09-30,19:30:00,83.6,83.64,83.59,83.6,33270,0
2013-09-30,19:35:00,83.59,83.64,83.57,83.58,29789,0
2013-09-30,19:40:00,83.58,83.63,83.52,83.54,46668,0
2013-09-30,19:45:00,83.55,83.64,83.54,83.56,20269,0
2013-09-30,19:50:00,83.57,83.67,83.57,83.65,29172,0
2013-09-30,19:55:00,83.63,83.64,83.55,83.56,19305,0
2013-09-30,20:00:00,83.55,83.57,83.49,83.52,49170,0
2013-09-30,20:05:00,83.53,83.56,83.5,83.5,79949,0
2013-09-30,20:10:00,83.5,83.53,83.45,83.52,101480,0
2013-09-30,20:15:00,83.53,83.54,83.48,83.54,167613,0
2013-09-30,20:20:00,83.53,83.55,83.5,83.52,85676,0
2013-09-30,20:25:00,83.52,83.54,83.42,83.45,70572,0
2013-09-30,20:30:00,83.44,83.45,83.36,83.38,77593,0
2013-09-30,20:35:00,83.38,83.53,83.37,83.52,68327,0
2013-09-30,20:40:00,83.52,83.53,83.48,83.51,126294,0
2013-09-30,20:45:00,83.51,83.53,83.5,83.53,55532,0
2013-09-30,20:50:00,83.53,83.55,83.51,83.52,14262,0
2013-09-30,20:55:00,83.51,83.54,83.5,83.51,32624,0
2013-09-30,21:00:00,83.51,83.55,83.5,83.5,29191,0
2013-09-30,21:05:00,83.5,83.53,83.48,83.48,65705,0
2013-09-30,21:10:00,83.48,83.53,83.47,83.5,66837,0
2013-09-30,21:15:00,83.5,83.51,83.4,83.4,100630,0
2013-09-30,21:20:00,83.39,83.43,83.31,83.38,51022,0
2013-09-30,21:25:00,83.38,83.43,83.35,83.39,60562,0
2013-09-30,21:30:00,83.4,83.44,83.39,83.42,63432,0
2013-09-30,21:35:00,83.41,83.43,83.37,83.39,108350,0
2013-09-30,21:40:00,83.37,83.44,83.36,83.37,130861,0
2013-09-30,21:45:00,83.37,83.37,83.29,83.3,119967,0
2013-09-30,21:50:00,83.31,83.43,83.3,83.35,136934,0
2013-09-30,21:55:00,83.34,83.4,83.31,83.34,169548,0
2013-09-30,22:00:00,83.33,83.45,83.3,83.4,1152658,0
2013-10-01,15:35:00,83.56,83.56,83.08,83.17,118864,0
2013-10-01,15:40:00,83.2,83.42,83.15,83.35,82314,0
2013-10-01,15:45:00,83.32,83.59,83.3,83.39,126121,0
2013-10-01,15:50:00,83.39,83.62,83.31,83.44,67432,0
2013-10-01,15:55:00,83.45,83.47,83.31,83.45,42114,0
2013-10-01,16:00:00,83.44,83.53,83.38,83.51,49106,0
2013-10-01,16:05:00,83.53,83.68,83.39,83.64,174456,0
2013-10-01,16:10:00,83.66,83.76,83.59,83.75,103250,0
2013-10-01,16:15:00,83.75,83.83,83.71,83.81,181232,0
