Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-09-26,15:35:00,31.65,31.76,31.58,31.7099,1082123,0
2013-09-26,15:40:00,31.7,32,31.68,32,1156654,0
2013-09-26,15:45:00,31.99,32.05,31.8749,32.01,711537,0
2013-09-26,15:50:00,32.02,32.04,31.86,31.9175,428877,0
2013-09-26,15:55:00,31.915,31.99,31.89,31.97,709894,0
2013-09-26,16:00:00,31.96,32.08,31.96,32.0659,971111,0
2013-09-26,16:05:00,32.068,32.27,32.065,32.19,923811,0
2013-09-26,16:10:00,32.191,32.27,32.135,32.229,478835,0
2013-09-26,16:15:00,32.225,32.365,32.22,32.325,548747,0
2013-09-26,16:20:00,32.32,32.48,32.305,32.41,718168,0
2013-09-26,16:25:00,32.41,32.46,32.38,32.3999,701001,0
2013-09-26,16:30:00,32.3901,32.4,32.31,32.38,298289,0
2013-09-26,16:35:00,32.38,32.39,32.29,32.31,367131,0
2013-09-26,16:40:00,32.31,32.32,32.23,32.23,348348,0
2013-09-26,16:45:00,32.24,32.25,32.15,32.179,428665,0
2013-09-26,16:50:00,32.1701,32.21,32.11,32.15,499572,0
2013-09-26,16:55:00,32.155,32.17,32.14,32.155,340027,0
2013-09-26,17:00:00,32.1551,32.2,32.1522,32.195,217156,0
2013-09-26,17:05:00,32.2,32.2,32.14,32.155,236923,0
2013-09-26,17:10:00,32.15,32.1578,32.118,32.145,299246,0
2013-09-26,17:15:00,32.143,32.16,32.125,32.14,540002,0
2013-09-26,17:20:00,32.145,32.26,32.135,32.255,674889,0
2013-09-26,17:25:00,32.26,32.29,32.2349,32.2625,361752,0
2013-09-26,17:30:00,32.26,32.29,32.24,32.2688,525362,0
2013-09-26,17:35:00,32.26,32.34,32.26,32.28,349314,0
2013-09-26,17:40:00,32.29,32.35,32.29,32.321,191018,0
2013-09-26,17:45:00,32.3213,32.41,32.32,32.397,411592,0
2013-09-26,17:50:00,32.39,32.52,32.39,32.5001,601354,0
2013-09-26,17:55:00,32.5,32.57,32.5,32.565,441886,0
2013-09-26,18:00:00,32.57,32.66,32.56,32.62,410550,0
2013-09-26,18:05:00,32.62,32.95,32.6132,32.91,1390344,0
2013-09-26,18:10:00,32.9049,32.94,32.75,32.8,873550,0
2013-09-26,18:15:00,32.8,32.81,32.66,32.66,705838,0
2013-09-26,18:20:00,32.6699,32.86,32.65,32.7796,545745,0
2013-09-26,18:25:00,32.78,32.93,32.74,32.91,791187,0
2013-09-26,18:30:00,32.91,33,32.89,32.9499,807435,0
2013-09-26,18:35:00,32.94,32.95,32.84,32.92,697876,0
2013-09-26,18:40:00,32.9236,32.94,32.85,32.85,334574,0
2013-09-26,18:45:00,32.85,32.92,32.85,32.87,404825,0
2013-09-26,18:50:00,32.875,32.9,32.87,32.87,188738,0
2013-09-26,18:55:00,32.86,32.91,32.81,32.81,292228,0
2013-09-26,19:00:00,32.81,32.87,32.79,32.84,398861,0
2013-09-26,19:05:00,32.83,32.87,32.83,32.86,314640,0
2013-09-26,19:10:00,32.859,32.9,32.85,32.87,396997,0
2013-09-26,19:15:00,32.863,32.9,32.8597,32.8951,189091,0
2013-09-26,19:20:00,32.8999,32.9,32.84,32.85,183149,0
2013-09-26,19:25:00,32.84,32.88,32.84,32.873,434460,0
2013-09-26,19:30:00,32.88,32.95,32.87,32.95,274097,0
2013-09-26,19:35:00,32.945,32.95,32.77,32.77,588495,0
2013-09-26,19:40:00,32.77,32.78,32.66,32.699,452034,0
2013-09-26,19:45:00,32.69,32.73,32.68,32.695,498141,0
2013-09-26,19:50:00,32.695,32.73,32.68,32.7,375241,0
2013-09-26,19:55:00,32.7096,32.71,32.57,32.6022,503424,0
2013-09-26,20:00:00,32.605,32.67,32.6,32.635,170291,0
2013-09-26,20:05:00,32.64,32.67,32.61,32.63,648658,0
2013-09-26,20:10:00,32.6351,32.67,32.62,32.665,277934,0
2013-09-26,20:15:00,32.66,32.68,32.62,32.62,363934,0
2013-09-26,20:20:00,32.6299,32.65,32.62,32.645,116262,0
2013-09-26,20:25:00,32.63,32.6399,32.58,32.615,204757,0
2013-09-26,20:30:00,32.61,32.675,32.61,32.67,150292,0
2013-09-26,20:35:00,32.67,32.67,32.6,32.65,144814,0
2013-09-26,20:40:00,32.6494,32.66,32.63,32.645,140753,0
2013-09-26,20:45:00,32.6468,32.65,32.52,32.53,435152,0
2013-09-26,20:50:00,32.5368,32.56,32.41,32.46,534358,0
2013-09-26,20:55:00,32.46,32.51,32.42,32.4999,243414,0
2013-09-26,21:00:00,32.4901,32.59,32.49,32.57,214251,0
2013-09-26,21:05:00,32.57,32.57,32.525,32.5371,311121,0
2013-09-26,21:10:00,32.539,32.56,32.5,32.52,880842,0
2013-09-26,21:15:00,32.52,32.53,32.4,32.41,459417,0
2013-09-26,21:20:00,32.42,32.47,32.405,32.4699,434695,0
2013-09-26,21:25:00,32.465,32.52,32.46,32.49,321255,0
2013-09-26,21:30:00,32.51,32.56,32.5,32.517,363441,0
2013-09-26,21:35:00,32.51,32.56,32.5,32.55,245554,0
2013-09-26,21:40:00,32.5499,32.65,32.54,32.6093,658007,0
2013-09-26,21:45:00,32.61,32.685,32.6,32.6399,640536,0
2013-09-26,21:50:00,32.63,32.72,32.625,32.71,778187,0
2013-09-26,21:55:00,32.72,32.75,32.67,32.72,726476,0
